Column1;ProductType;LoadFamily;LoadLevel;ShearFamily;ShearLevel;Height;TopCover;ProductLength;f__ck;MRdPos;MRdNeg;VRdPos;VRdNeg;VRdMax;NRd;HRd;TanALPHA;SpringStiff;LambdaEq;InsThickness;ProductFamily;AnchoLength;minLength;DoubleMoment;DoubleShear;Type;;;;;;;;;;;;;;;;;;
25;TEBEA CM2-V1-CC35-H200;CM;CM2;V;V1;200;35;1000;20;0;-20707500;41784;0;192000;0;0;0.635318827;3259;0.110122033;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
26;TEBEA CM2-V1-CC35-H210;CM;CM2;V;V1;210;35;1000;20;0;-22357500;41784;0;204000;0;0;0.582095895;3841;0.106782888;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
27;TEBEA CM2-V1-CC35-H220;CM;CM2;V;V1;220;35;1000;20;0;-24007500;41784;0;216000;0;0;0.535869885;4480;0.103747302;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
28;TEBEA CM2-V1-CC35-H230;CM;CM2;V;V1;230;35;1000;20;0;-25657500;41784;0;228000;0;0;0.49529091;5180;0.100975681;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
29;TEBEA CM2-V1-CC35-H240;CM;CM2;V;V1;240;35;1000;20;0;-27307500;41784;0;240000;0;0;0.459335336;5945;0.098435027;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
30;TEBEA CM2-V1-CC35-H250;CM;CM2;V;V1;250;35;1000;20;0;-28957500;41784;0;252000;0;0;0.42721284;6778;0.096097626;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
31;TEBEA CM2-V3-CC35-H160;CM;CM2;V;V3;160;35;1000;20;0;-13900509.44;65288;0;144000;0;0;0.952324166;1460;0.136813425;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
32;TEBEA CM2-V3-CC35-H170;CM;CM2;V;V3;170;35;1000;20;0;-15664733.98;65288;0;156000;0;0;0.853576187;1835;0.131118518;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
33;TEBEA CM2-V3-CC35-H180;CM;CM2;V;V3;180;35;1000;20;0;-17407500;65288;0;168000;0;0;0.770714042;2259;0.126056378;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
34;TEBEA CM2-V3-CC35-H190;CM;CM2;V;V3;190;35;1000;20;0;-19057500;65288;0;180000;0;0;0.697356063;2733;0.121527095;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
35;TEBEA CM2-V3-CC35-H200;CM;CM2;V;V3;200;35;1000;20;0;-20707500;65288;0;192000;0;0;0.635318827;3259;0.11745074;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
36;TEBEA CM2-V3-CC35-H210;CM;CM2;V;V3;210;35;1000;20;0;-22357500;65288;0;204000;0;0;0.582095895;3841;0.11376261;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
37;TEBEA CM2-V3-CC35-H220;CM;CM2;V;V3;220;35;1000;20;0;-24007500;65288;0;216000;0;0;0.535869885;4480;0.110409764;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
38;TEBEA CM2-V3-CC35-H230;CM;CM2;V;V3;230;35;1000;20;0;-25657500;65288;0;228000;0;0;0.49529091;5180;0.10734847;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
39;TEBEA CM2-V3-CC35-H240;CM;CM2;V;V3;240;35;1000;20;0;-27307500;65288;0;240000;0;0;0.459335336;5945;0.104542283;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
40;TEBEA CM2-V3-CC35-H250;CM;CM2;V;V3;250;35;1000;20;0;-28957500;65288;0;252000;0;0;0.42721284;6778;0.101960592;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
41;TEBEA CM2-VV1-CC35-H160;CM;CM2;VV;VV1;160;35;1000;20;0;-13900509.44;20892;-20892;144000;0;0;0.952324166;1460;0.127652541;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
42;TEBEA CM2-VV1-CC35-H170;CM;CM2;VV;VV1;170;35;1000;20;0;-15664733.98;20892;-20892;156000;0;0;0.853576187;1835;0.122496509;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
43;TEBEA CM2-VV1-CC35-H180;CM;CM2;VV;VV1;180;35;1000;20;0;-17407500;20892;-20892;168000;0;0;0.770714042;2259;0.11791337;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
44;TEBEA CM2-VV1-CC35-H190;CM;CM2;VV;VV1;190;35;1000;20;0;-19057500;20892;-20892;180000;0;0;0.697356063;2733;0.113812666;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
45;TEBEA CM2-VV1-CC35-H200;CM;CM2;VV;VV1;200;35;1000;20;0;-20707500;20892;-20892;192000;0;0;0.635318827;3259;0.110122033;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
46;TEBEA CM2-VV1-CC35-H210;CM;CM2;VV;VV1;210;35;1000;20;0;-22357500;20892;-20892;204000;0;0;0.582095895;3841;0.106782888;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
47;TEBEA CM2-VV1-CC35-H220;CM;CM2;VV;VV1;220;35;1000;20;0;-24007500;20892;-20892;216000;0;0;0.535869885;4480;0.103747302;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
48;TEBEA CM2-VV1-CC35-H230;CM;CM2;VV;VV1;230;35;1000;20;0;-25657500;20892;-20892;228000;0;0;0.49529091;5180;0.100975681;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
49;TEBEA CM2-VV1-CC35-H240;CM;CM2;VV;VV1;240;35;1000;20;0;-27307500;20892;-20892;240000;0;0;0.459335336;5945;0.098435027;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
50;TEBEA CM2-VV1-CC35-H250;CM;CM2;VV;VV1;250;35;1000;20;0;-28957500;20892;-20892;252000;0;0;0.42721284;6778;0.096097626;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
51;TEBEA CM2-VV3-CC35-H160;CM;CM2;VV;VV3;160;35;1000;20;0;-13900509.44;32644;-32644;144000;0;0;0.952324166;1460;0.136813425;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
52;TEBEA CM2-VV3-CC35-H170;CM;CM2;VV;VV3;170;35;1000;20;0;-15664733.98;32644;-32644;156000;0;0;0.853576187;1835;0.131118518;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
53;TEBEA CM2-VV3-CC35-H180;CM;CM2;VV;VV3;180;35;1000;20;0;-17407500;32644;-32644;168000;0;0;0.770714042;2259;0.126056378;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
54;TEBEA CM2-VV3-CC35-H190;CM;CM2;VV;VV3;190;35;1000;20;0;-19057500;32644;-32644;180000;0;0;0.697356063;2733;0.121527095;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
55;TEBEA CM2-VV3-CC35-H200;CM;CM2;VV;VV3;200;35;1000;20;0;-20707500;32644;-32644;192000;0;0;0.635318827;3259;0.11745074;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
56;TEBEA CM2-VV3-CC35-H210;CM;CM2;VV;VV3;210;35;1000;20;0;-22357500;32644;-32644;204000;0;0;0.582095895;3841;0.11376261;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
57;TEBEA CM2-VV3-CC35-H220;CM;CM2;VV;VV3;220;35;1000;20;0;-24007500;32644;-32644;216000;0;0;0.535869885;4480;0.110409764;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
58;TEBEA CM2-VV3-CC35-H230;CM;CM2;VV;VV3;230;35;1000;20;0;-25657500;32644;-32644;228000;0;0;0.49529091;5180;0.10734847;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
59;TEBEA CM2-VV3-CC35-H240;CM;CM2;VV;VV3;240;35;1000;20;0;-27307500;32644;-32644;240000;0;0;0.459335336;5945;0.104542283;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
60;TEBEA CM2-VV3-CC35-H250;CM;CM2;VV;VV3;250;35;1000;20;0;-28957500;32644;-32644;252000;0;0;0.42721284;6778;0.101960592;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
61;TEBEA CM3-V1-CC35-H160;CM;CM3;V;V1;160;35;1000;20;0;-18260493.68;41784;0;144000;0;0;0.950527488;1921;0.151983049;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
62;TEBEA CM3-V1-CC35-H170;CM;CM3;V;V1;170;35;1000;20;0;-20534657.89;41784;0;156000;0;0;0.851724685;2411;0.145395811;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
63;TEBEA CM3-V1-CC35-H180;CM;CM3;V;V1;180;35;1000;20;0;-22848360.38;41784;0;168000;0;0;0.771697774;2961;0.139540488;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
64;TEBEA CM3-V1-CC35-H190;CM;CM3;V;V1;190;35;1000;20;0;-25204600.26;41784;0;180000;0;0;0.705569899;3572;0.134301515;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
